id,model,trim,year,price_usd,mileage_km,fuel_type,transmission,engine_liters,horsepower,color,body_type,region,owner_count,condition,service_history
57,GLB,Night Edition,2016,47308,214593,Diesel,Automatic,4.7,262,Black,Hatchback,North America,2,Excellent,Yes
58,A-Class,Luxury,2017,41322,100670,Diesel,Automatic,1.7,132,White,Roadster,Latin America,2,Like New,No
59,EQC,Premium,2020,103122,37312,Electric,Automatic,0,382,White,Sedan,Asia Pacific,2,Like New,No
60,GLA,Luxury,2015,71001,174927,Hybrid,Manual,1.5,626,White,Convertible,Latin America,4,Very Good,Yes
61,GLA,Night Edition,2024,79966,27056,Hybrid,Automatic,3.7,560,Brown,SUV,North America,1,Good,Yes
62,CLA,Night Edition,2010,46050,196607,Plug-in Hybrid,Automatic,4.8,359,Beige,Coupe,North America,3,Good,Yes
63,AMG GT,Base,2015,144380,51061,Plug-in Hybrid,Manual,4.6,227,Blue,Coupe,North America,3,Very Good,Yes
64,B-Class,Premium,2020,36386,159017,Diesel,Automatic,1.7,379,Silver,SUV,Latin America,1,Fair,Yes
65,GLC,Luxury,2012,79940,154696,Petrol,Manual,5,526,White,Sedan,North America,4,Like New,Yes
66,C-Class,Sport,2022,85971,18410,Diesel,Manual,1.5,582,Red,Coupe,Asia Pacific,1,Excellent,Yes
67,GLB,Base,2013,64615,67976,Plug-in Hybrid,Automatic,3.7,288,Blue,Wagon,Africa,2,Excellent,Yes
68,GLC,Avantgarde,2023,85324,176191,Plug-in Hybrid,Manual,5.7,584,Silver,Coupe,Middle East,3,Good,Yes
69,GLA,Avantgarde,2010,35180,227616,Plug-in Hybrid,Manual,1.4,215,Red,Liftback,Middle East,4,Fair,Yes
70,GLC,Base,2018,87970,132798,Plug-in Hybrid,Manual,4.7,499,Gray,Liftback,Middle East,4,Excellent,No
71,EQC,Sport,2011,78404,109830,Electric,Automatic,0,323,Gold,Sedan,Middle East,4,Very Good,Yes
72,GLS,Base,2008,80130,220280,Petrol,Automatic,6.6,205,White,SUV,Middle East,1,Good,Yes
73,GLB,Exclusive,2016,69686,188688,Hybrid,Manual,6.4,572,Green,Hatchback,Asia Pacific,2,Good,No
74,B-Class,Sport,2010,43905,212550,Plug-in Hybrid,Manual,5.5,436,Green,Sedan,Europe,1,Fair,Yes
75,C-Class,Luxury,2011,70659,113041,Plug-in Hybrid,Automatic,5.9,555,Silver,Hatchback,Europe,3,Good,Yes
76,EQB,Premium Plus,2012,75780,99080,Electric,Automatic,0,324,Gold,Sedan,Asia Pacific,3,Very Good,Yes
77,EQB,Sport,2017,90347,168892,Electric,Automatic,0,293,Silver,Sedan,Africa,3,New,Yes
78,GLS,Premium Plus,2009,96856,115061,Petrol,Automatic,3,278,White,SUV,Middle East,4,Very Good,No
79,A-Class,Exclusive,2017,50158,88477,Plug-in Hybrid,Manual,4.5,439,Red,Roadster,North America,2,Fair,Yes
80,GLE,Avantgarde,2023,79082,91563,Diesel,Manual,6.9,217,Green,SUV,Europe,2,Excellent,No
81,EQB,Luxury,2009,58492,163375,Electric,Automatic,0,272,Blue,Sedan,North America,1,Good,No
82,B-Class,Sport,2012,46136,223855,Petrol,Manual,2.7,573,Gray,Hatchback,Latin America,1,Good,Yes
83,E-Class,Avantgarde,2025,68768,130712,Diesel,Automatic,5.7,113,Gray,Hatchback,Middle East,2,Like New,Yes
84,B-Class,Night Edition,2008,20202,126803,Diesel,Manual,3.4,204,Black,Sedan,Europe,3,Fair,Yes
85,B-Class,Luxury,2011,53694,76105,Diesel,Automatic,3.8,617,Brown,Roadster,Europe,3,Fair,No
86,GLB,Exclusive,2023,100492,61035,Hybrid,Manual,3.7,547,Brown,SUV,Latin America,2,New,Yes
87,GLS,Base,2020,93290,80344,Petrol,Manual,3.8,231,Black,SUV,Europe,4,Fair,Yes
88,AMG GT,Luxury,2021,158262,134182,Diesel,Automatic,2,406,Gray,Coupe,North America,2,New,No
89,B-Class,Avantgarde,2025,57937,72591,Hybrid,Automatic,4.9,369,White,Liftback,North America,3,Fair,No
90,GLB,Night Edition,2010,47635,223402,Plug-in Hybrid,Automatic,4.3,209,Black,Sedan,North America,2,Excellent,Yes
91,B-Class,Sport,2011,62539,68353,Petrol,Manual,4.5,418,Beige,Wagon,Europe,1,New,No
92,C-Class,Exclusive,2025,67320,111937,Diesel,Automatic,2.5,319,Gold,Wagon,Latin America,4,Like New,Yes
93,C-Class,Base,2017,63593,59310,Plug-in Hybrid,Automatic,1.3,112,Beige,Convertible,Asia Pacific,4,Like New,No
94,EQC,Sport,2020,102483,42998,Electric,Automatic,0,577,Black,Sedan,Latin America,3,Fair,Yes
95,AMG GT,Luxury,2013,167199,225330,Plug-in Hybrid,Manual,2,588,Blue,Coupe,North America,3,New,No
96,CLA,Sport,2014,53986,172041,Diesel,Manual,3.2,434,Brown,Coupe,Latin America,4,Excellent,No
97,S-Class,Premium,2025,115113,87929,Plug-in Hybrid,Manual,2.7,215,Blue,SUV,Asia Pacific,2,Good,Yes
98,GLE,Exclusive,2022,110665,129579,Hybrid,Automatic,4.4,589,Blue,SUV,Middle East,4,Like New,No
99,GLB,Exclusive,2025,77919,50197,Plug-in Hybrid,Manual,4.8,436,White,Convertible,Africa,1,Good,Yes
100,B-Class,Sport,2024,67290,23958,Diesel,Manual,1.9,307,Gray,Liftback,Middle East,3,New,No
101,S-Class,AMG Line,2014,108403,54059,Hybrid,Automatic,2.9,404,Brown,SUV,North America,4,Good,No
102,GLA,Sport,2013,64552,117038,Hybrid,Manual,2.9,312,Green,Hatchback,Middle East,1,New,Yes
103,S-Class,Premium Plus,2012,95973,99694,Hybrid,Automatic,6.6,272,Gray,SUV,Latin America,2,Good,No
104,E-Class,Base,2024,81932,47101,Petrol,Automatic,2.8,432,Gold,Liftback,North America,1,Good,No
105,EQB,AMG Line,2024,95993,128111,Electric,Automatic,0,379,Green,Sedan,Europe,1,Like New,Yes
106,GLE,Premium,2025,88037,107279,Diesel,Manual,1.7,191,Green,SUV,Middle East,2,New,No
107,A-Class,Sport,2017,75634,47668,Diesel,Manual,1.4,602,Brown,SUV,North America,1,Like New,No
108,EQA,Avantgarde,2008,67499,119649,Electric,Automatic,0,368,Blue,Sedan,Africa,3,Good,No
109,AMG GT,Avantgarde,2018,144436,202012,Hybrid,Automatic,2.5,336,Silver,Coupe,Latin America,3,Excellent,Yes
110,GLE,Premium Plus,2022,95469,91637,Petrol,Manual,3.1,231,White,SUV,North America,1,New,No
111,E-Class,AMG Line,2014,85012,84966,Plug-in Hybrid,Automatic,5.9,299,Gray,SUV,Latin America,3,Like New,No
112,CLA,Premium,2011,56665,59131,Petrol,Manual,2.3,548,Red,Coupe,Asia Pacific,3,Good,Yes
113,GLA,Night Edition,2017,37374,192616,Diesel,Automatic,2.7,337,Silver,Hatchback,Latin America,4,Fair,No
114,EQB,Avantgarde,2022,88211,193147,Electric,Automatic,0,527,Gold,SUV,North America,1,Very Good,Yes
115,GLB,Premium Plus,2018,85257,39185,Plug-in Hybrid,Manual,6.5,378,Red,Wagon,North America,1,New,No
116,B-Class,Exclusive,2012,66592,180420,Plug-in Hybrid,Automatic,6.4,368,Beige,Liftback,Europe,3,New,Yes
117,GLC,Night Edition,2017,92499,45453,Hybrid,Manual,5.8,587,Beige,Wagon,North America,1,Very Good,No
118,GLB,Luxury,2010,82472,178102,Hybrid,Manual,3.6,632,Black,Wagon,North America,1,New,Yes
119,AMG GT,Exclusive,2009,100574,212867,Diesel,Automatic,5.7,151,Gray,Coupe,Asia Pacific,2,Fair,No
120,EQB,Premium Plus,2010,79460,72626,Electric,Automatic,0,416,Gold,Sedan,Europe,3,Good,Yes
121,CLA,Premium Plus,2024,73199,60939,Plug-in Hybrid,Manual,5.7,438,Gray,Coupe,Europe,3,Good,No
122,AMG GT,Night Edition,2010,142156,96317,Diesel,Automatic,3.6,260,Red,Coupe,Asia Pacific,3,New,No
123,GLB,Base,2022,52915,156162,Plug-in Hybrid,Automatic,2.5,190,Brown,Wagon,Latin America,3,Good,Yes
124,C-Class,Exclusive,2024,48377,148265,Petrol,Automatic,4.7,320,Blue,Roadster,North America,4,Fair,Yes
125,E-Class,Exclusive,2010,62590,107926,Petrol,Manual,3.9,291,Blue,Roadster,Asia Pacific,2,Very Good,Yes
126,AMG GT,Exclusive,2020,162161,200098,Plug-in Hybrid,Automatic,2.2,544,Blue,Coupe,Middle East,3,Very Good,Yes
127,A-Class,AMG Line,2008,40208,204405,Plug-in Hybrid,Automatic,3.7,370,Red,SUV,Africa,2,Very Good,No
128,GLC,AMG Line,2015,63504,61848,Hybrid,Automatic,5.5,148,Red,Hatchback,Asia Pacific,1,Excellent,No
129,GLC,Exclusive,2016,64640,150776,Diesel,Automatic,5.7,557,Black,Coupe,Africa,3,Fair,No
130,GLS,AMG Line,2018,95451,147112,Petrol,Automatic,1.9,271,Gold,SUV,Asia Pacific,3,Good,Yes
131,GLB,Exclusive,2019,63466,184182,Plug-in Hybrid,Automatic,5.9,252,Red,Sedan,Middle East,4,Like New,No
132,B-Class,Luxury,2019,63427,146290,Hybrid,Manual,4,565,Brown,Roadster,North America,1,Very Good,Yes
133,AMG GT,Luxury,2017,127845,108105,Diesel,Manual,6.6,345,Gold,Coupe,Africa,1,Fair,Yes
134,EQB,Sport,2008,72717,160349,Electric,Automatic,0,452,Red,Sedan,Middle East,4,Good,Yes
135,EQC,Night Edition,2014,84245,194208,Electric,Automatic,0,230,Red,Sedan,Africa,1,New,Yes
136,E-Class,Premium Plus,2011,65184,130100,Hybrid,Automatic,6.3,121,Gold,Wagon,North America,1,Like New,Yes
137,C-Class,AMG Line,2023,63352,184108,Petrol,Manual,4.9,191,Beige,Roadster,Europe,1,New,Yes
138,AMG GT,Luxury,2014,134271,221506,Diesel,Manual,3.7,264,Blue,Coupe,Latin America,1,Like New,No
139,AMG GT,Night Edition,2022,164870,114973,Petrol,Manual,6.5,472,Gold,Coupe,Middle East,2,New,No
140,CLA,Premium Plus,2009,32112,232186,Petrol,Automatic,3.8,180,Brown,Coupe,Europe,1,Like New,Yes
141,GLE,Night Edition,2009,73898,84897,Diesel,Manual,3.5,274,Beige,SUV,Africa,4,Like New,No
142,EQB,Sport,2022,70573,172561,Electric,Automatic,0,362,Green,SUV,North America,3,Fair,No
143,S-Class,Premium Plus,2017,138419,167240,Plug-in Hybrid,Manual,2.3,583,White,SUV,North America,2,New,No
144,GLE,Base,2014,94652,68338,Plug-in Hybrid,Automatic,3.9,305,Red,SUV,Latin America,2,Like New,No
145,B-Class,Base,2019,51978,185008,Diesel,Manual,5.6,525,Gold,Sedan,Latin America,1,Very Good,No
146,GLC,Premium Plus,2021,95859,154293,Hybrid,Manual,2.6,621,Gray,Roadster,Africa,3,Like New,Yes
147,GLB,Avantgarde,2015,75920,192964,Plug-in Hybrid,Manual,3.8,419,Beige,Liftback,Europe,2,New,Yes
148,EQB,AMG Line,2017,95985,91839,Electric,Automatic,0,462,White,SUV,Asia Pacific,1,Excellent,Yes
149,GLE,Premium Plus,2023,71431,71576,Hybrid,Automatic,4.4,115,Black,SUV,North America,3,Fair,Yes
150,E-Class,Avantgarde,2021,91162,61721,Plug-in Hybrid,Automatic,6.3,332,Green,Wagon,Asia Pacific,1,Like New,Yes
151,C-Class,Premium,2013,51904,161755,Petrol,Manual,5.4,474,White,Liftback,Latin America,2,Good,Yes
152,CLA,Exclusive,2012,43981,191197,Diesel,Automatic,2.9,448,Silver,Coupe,Latin America,3,Good,Yes
153,B-Class,Base,2021,72380,182975,Plug-in Hybrid,Automatic,4.8,354,Black,Roadster,Middle East,4,New,Yes
154,CLA,Sport,2018,36267,151395,Diesel,Manual,5.8,295,Beige,Coupe,Africa,1,Fair,Yes
155,B-Class,Premium Plus,2011,47776,156258,Petrol,Manual,5.4,531,Gold,Convertible,Latin America,2,Good,Yes
156,EQB,Base,2023,84993,52571,Electric,Automatic,0,309,Green,Sedan,Africa,4,Very Good,No
157,GLS,Sport,2021,124634,58771,Plug-in Hybrid,Automatic,6.9,288,Blue,SUV,Europe,3,Excellent,Yes
158,GLS,Avantgarde,2021,88060,66449,Diesel,Automatic,6.1,171,Brown,SUV,Asia Pacific,1,Fair,Yes
159,GLC,Night Edition,2009,47997,174054,Hybrid,Manual,5.8,144,Green,Hatchback,Latin America,2,Very Good,Yes
160,B-Class,Avantgarde,2018,57500,164946,Diesel,Automatic,1.8,549,Gold,Convertible,Asia Pacific,3,Very Good,Yes
161,CLA,AMG Line,2018,45720,143201,Plug-in Hybrid,Manual,4.9,213,Black,Coupe,Africa,1,Good,Yes
162,AMG GT,Premium Plus,2014,122923,79868,Diesel,Manual,6.9,287,Green,Coupe,North America,2,Fair,Yes
163,A-Class,Sport,2021,63844,87474,Plug-in Hybrid,Automatic,2.5,148,Gold,Convertible,Middle East,4,New,No
164,GLC,Premium Plus,2020,80248,89220,Plug-in Hybrid,Manual,2.3,256,Blue,Sedan,Africa,1,Like New,Yes
165,EQA,Night Edition,2025,101744,69855,Electric,Automatic,0,529,Beige,Sedan,Asia Pacific,2,Excellent,No
166,GLC,Avantgarde,2015,91884,51999,Diesel,Manual,3.2,496,Black,Sedan,Europe,3,New,Yes
167,GLB,Base,2022,49513,182551,Diesel,Manual,2.8,165,Black,Roadster,Africa,1,Like New,Yes
168,GLS,Luxury,2008,84950,151939,Diesel,Manual,6.4,238,Red,SUV,North America,3,Good,Yes
169,A-Class,AMG Line,2010,58437,86366,Plug-in Hybrid,Automatic,2.5,440,Silver,Liftback,Africa,4,Very Good,Yes
170,E-Class,Avantgarde,2018,85990,75313,Hybrid,Manual,5.4,487,White,SUV,Latin America,4,Very Good,Yes
171,EQB,Night Edition,2012,82635,127728,Electric,Automatic,0,618,Beige,Sedan,North America,3,Fair,No
172,C-Class,Exclusive,2020,45112,138928,Petrol,Automatic,3.8,303,White,Convertible,Middle East,4,Fair,Yes
173,GLA,Premium Plus,2010,43770,128252,Hybrid,Automatic,5.8,159,Silver,Sedan,Africa,2,Excellent,No
174,GLC,Avantgarde,2020,72308,186016,Hybrid,Automatic,6.7,514,Gold,Coupe,Africa,2,Fair,Yes
175,S-Class,Sport,2025,128749,88761,Hybrid,Automatic,6.2,466,Green,SUV,Asia Pacific,2,Excellent,Yes
176,GLC,Exclusive,2017,85205,59155,Plug-in Hybrid,Manual,3.1,391,Gray,Coupe,Asia Pacific,1,Excellent,Yes
177,B-Class,Exclusive,2012,33747,201064,Petrol,Manual,2.4,308,Gray,Hatchback,Asia Pacific,3,Good,Yes
178,AMG GT,Night Edition,2014,145752,182638,Petrol,Manual,6.3,385,Blue,Coupe,Africa,3,Like New,No
179,E-Class,Base,2016,81832,118532,Diesel,Manual,5.1,512,White,Coupe,Europe,4,Excellent,No
180,S-Class,Premium Plus,2010,81826,231966,Plug-in Hybrid,Manual,4.2,142,Gold,SUV,Europe,1,Good,Yes
181,E-Class,Base,2012,71475,57768,Hybrid,Manual,1.6,230,Gold,Sedan,North America,1,Like New,Yes
182,EQB,Avantgarde,2014,82044,168311,Electric,Automatic,0,587,Gold,Sedan,Middle East,1,Fair,Yes
183,A-Class,Premium Plus,2012,31674,119754,Petrol,Manual,4.4,283,Green,Sedan,North America,1,Good,Yes
184,GLA,Luxury,2024,56471,71242,Hybrid,Automatic,1.4,142,Silver,Convertible,North America,3,Very Good,Yes
185,E-Class,Premium Plus,2020,61445,85551,Hybrid,Manual,6.2,118,Black,SUV,Latin America,3,Very Good,Yes
186,AMG GT,Premium Plus,2016,137083,160991,Hybrid,Automatic,1.8,172,Silver,Coupe,Asia Pacific,1,Excellent,Yes
187,GLC,AMG Line,2016,65269,88500,Diesel,Automatic,6.4,480,Beige,SUV,North America,4,Fair,Yes
188,A-Class,Avantgarde,2014,43359,208994,Plug-in Hybrid,Manual,3,339,Gray,Roadster,Middle East,4,Very Good,No
189,AMG GT,Luxury,2021,133919,197120,Diesel,Automatic,1.5,166,Gold,Coupe,Africa,3,Like New,Yes
190,EQA,Avantgarde,2011,86849,87671,Electric,Automatic,0,344,Black,Sedan,Europe,3,New,Yes
191,EQC,Base,2019,102717,127391,Electric,Automatic,0,616,Green,Sedan,Africa,3,Very Good,No
192,GLA,Premium,2008,58577,71533,Petrol,Automatic,6.6,598,Gold,Coupe,Asia Pacific,3,Good,Yes
193,EQC,Avantgarde,2010,93968,82858,Electric,Automatic,0,584,Brown,Sedan,Middle East,2,Good,Yes
194,GLS,AMG Line,2015,120119,86707,Plug-in Hybrid,Automatic,2.2,521,Gray,SUV,Asia Pacific,2,Fair,Yes
195,C-Class,Night Edition,2011,60223,144484,Petrol,Automatic,6.4,439,White,Liftback,Europe,1,Excellent,Yes
196,B-Class,Base,2018,55209,79261,Petrol,Manual,4.2,392,White,Convertible,Europe,1,Very Good,Yes
197,C-Class,Premium Plus,2022,61804,107528,Plug-in Hybrid,Automatic,4.1,307,Black,Sedan,Asia Pacific,4,Good,Yes
198,C-Class,AMG Line,2009,55008,87618,Plug-in Hybrid,Automatic,2.8,262,Gold,Coupe,Asia Pacific,2,Excellent,No
199,GLB,Avantgarde,2020,55716,25547,Diesel,Automatic,5.1,285,Blue,SUV,Europe,4,Very Good,Yes
200,EQB,Base,2017,98393,91704,Electric,Automatic,0,555,Brown,Sedan,Europe,1,Excellent,Yes
201,GLB,Avantgarde,2012,75970,193260,Hybrid,Automatic,2.9,487,White,Convertible,Latin America,3,New,Yes
202,GLS,Premium Plus,2023,114451,160291,Petrol,Manual,2,408,White,SUV,Asia Pacific,3,Excellent,No
203,C-Class,AMG Line,2022,78308,110072,Petrol,Manual,1.6,522,Blue,Convertible,Europe,4,Excellent,Yes
204,CLA,Night Edition,2018,61482,80106,Diesel,Manual,3.9,385,Red,Coupe,Middle East,3,Excellent,Yes
205,B-Class,AMG Line,2008,32936,101571,Petrol,Manual,6.1,220,Brown,Convertible,Asia Pacific,3,Very Good,No
206,EQB,Exclusive,2018,63840,151035,Electric,Automatic,0,241,Blue,SUV,Africa,3,Fair,No
207,AMG GT,Exclusive,2008,156642,160254,Petrol,Manual,2.9,483,Beige,Coupe,North America,4,New,Yes
208,GLB,Premium Plus,2025,79342,121961,Petrol,Manual,1.5,404,Green,Sedan,Latin America,4,New,Yes
209,GLB,Luxury,2014,49574,177086,Plug-in Hybrid,Automatic,2.4,156,Gray,Sedan,North America,1,Very Good,Yes
210,AMG GT,Premium,2022,152402,176355,Hybrid,Automatic,5.6,411,Beige,Coupe,Latin America,2,Very Good,No
211,GLC,Exclusive,2012,68655,160347,Hybrid,Automatic,2.9,251,Beige,Convertible,Middle East,4,New,No
212,C-Class,Premium Plus,2018,85262,151583,Hybrid,Automatic,6.4,550,Green,Coupe,Europe,3,New,Yes
213,EQB,AMG Line,2020,67808,70471,Electric,Automatic,0,222,Brown,Sedan,Latin America,4,Fair,Yes
214,S-Class,Night Edition,2025,108858,104335,Petrol,Manual,3.7,367,Red,SUV,North America,2,Good,No
215,GLB,Exclusive,2017,52222,190099,Plug-in Hybrid,Manual,6.7,233,Black,Liftback,Europe,2,Very Good,No
216,EQB,Base,2025,95231,164190,Electric,Automatic,0,259,Gold,SUV,Latin America,4,New,Yes
217,E-Class,Premium,2014,82580,78027,Hybrid,Automatic,4.4,356,Gold,Wagon,Latin America,3,Like New,Yes
218,GLB,AMG Line,2011,61961,220565,Hybrid,Automatic,6.6,315,Gray,Coupe,Africa,2,New,Yes
219,A-Class,Avantgarde,2024,72573,28571,Diesel,Manual,4,551,Green,SUV,Latin America,4,Excellent,Yes
220,A-Class,Base,2024,53775,153738,Hybrid,Automatic,5.6,300,Black,Convertible,Africa,1,Excellent,Yes
221,EQC,Premium,2011,70490,220984,Electric,Automatic,0,367,Green,Sedan,Africa,3,Fair,Yes
222,CLA,Premium,2020,45444,167787,Diesel,Automatic,6.6,133,Gold,Coupe,Latin America,4,Like New,No
223,GLA,Premium Plus,2019,67132,90153,Plug-in Hybrid,Automatic,4.6,335,Black,Liftback,Middle East,2,Excellent,Yes
224,CLA,Exclusive,2023,71990,12425,Hybrid,Manual,2.5,470,Black,Coupe,North America,3,Very Good,No
225,C-Class,Exclusive,2015,49712,210504,Diesel,Automatic,1.6,199,White,Liftback,Latin America,3,New,Yes
226,GLA,Premium,2022,84221,170104,Plug-in Hybrid,Automatic,2.7,501,Black,Roadster,Africa,4,Like New,No
227,GLB,Sport,2013,50161,139641,Diesel,Manual,6.6,151,Brown,Liftback,Europe,3,New,No
228,E-Class,Avantgarde,2009,59948,122839,Petrol,Manual,2.2,154,Green,Hatchback,Latin America,3,Like New,No
229,GLS,Premium,2008,86166,146114,Hybrid,Manual,2.2,250,Brown,SUV,Asia Pacific,2,Fair,Yes
230,S-Class,Premium,2011,83760,143312,Diesel,Automatic,5.2,188,Brown,SUV,Africa,4,Very Good,Yes
231,S-Class,Premium,2022,111039,62232,Diesel,Automatic,3.5,173,Black,SUV,Asia Pacific,4,Like New,No
232,E-Class,Sport,2020,79340,140435,Plug-in Hybrid,Manual,5.1,378,Red,SUV,Africa,2,Very Good,Yes
